283fb5a46b314013f6d2b96f7afde718696fa243###/williamfiset_Algorithms/src/test/java/com/williamfiset/algorithms/dp/WeightedMaximumCardinalityMatchingTest.java###/WeightedMaximumCardinalityMatchingTest.java###com.williamfiset.algorithms.dp.WeightedMaximumCardinalityMatchingTest###testNegativeEdge_smallerThanINFWeights:###assertThat(cost).isEqualTo(-1.0+-3.0+-5.0+(-3*50*INF));###expectedCost###-1.0+-3.0+-5.0+(-3*50*INF)###305:5:305:70
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/ConvexPolygonContainsPoint.java###/ConvexPolygonContainsPoint.java###com.williamfiset.algorithms.geometry.ConvexPolygonContainsPoint###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###cy###c.getY()###56:5:58:61
4bd3dc8a52eca2e628951d9307fcf771aa4b55d6###/williamfiset_Algorithms/Geometry/AngleBetweenVectors2D.java###/AngleBetweenVectors2D.java###AngleBetweenVectors2D###angleBetweenVectors:double double double double ###returnacos(dotproduct/(v1Length*v2Length));###value###dotproduct/(v1Length*v2Length)###22:5:22:49
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/PointInsideTriangle.java###/PointInsideTriangle.java###com.williamfiset.algorithms.geometry.PointInsideTriangle###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###cy###c.getY()###61:5:63:61
c6027e588512ec357cea775c7109c670ba33927f###/williamfiset_Algorithms/GraphTheory/TravelingSalesmanProblemBruteForce.java###/TravelingSalesmanProblemBruteForce.java###TravelingSalesmanProblemBruteForce###main:String[] ###System.out.println(java.util.Arrays.toString(tsp(matrix)));###bestTour###tsp(matrix)###96:5:96:66
72270107ef202e952317ce041233407328ff18a8###/williamfiset_Algorithms/src/main/java/com/williamfiset/algorithms/dp/examples/scenes/Scenes.java###/Scenes.java###Scenes###solution1:###intplains=(Math.min(W*H,N)/W)+1;###ribbonSquares###Math.min(W*H,N)###30:5:30:47
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/PointInsideTriangle.java###/PointInsideTriangle.java###com.williamfiset.algorithms.geometry.PointInsideTriangle###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###ax###a.getX()###61:5:63:61
8bf630d734a0ed8ea250d0afdd06673b32fb9a59###/williamfiset_Algorithms/src/main/java/com/williamfiset/algorithms/datastructures/sparsetable/SparseTable.java###/SparseTable.java###com.williamfiset.algorithms.datastructures.sparsetable.SparseTable###init:long[] ###t[p][i]=minFn.apply(t[p-1][i],t[p-1][i+(1<<(p-1))]);###leftInterval###t[p-1][i]###80:11:80:76
8bf630d734a0ed8ea250d0afdd06673b32fb9a59###/williamfiset_Algorithms/src/main/java/com/williamfiset/algorithms/datastructures/sparsetable/SparseTable.java###/SparseTable.java###com.williamfiset.algorithms.datastructures.sparsetable.SparseTable###init:long[] ###t[p][i]=minFn.apply(t[p-1][i],t[p-1][i+(1<<(p-1))]);###rightInterval###t[p-1][i+(1<<(p-1))]###80:11:80:76
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/PointInsideTriangle.java###/PointInsideTriangle.java###com.williamfiset.algorithms.geometry.PointInsideTriangle###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###ay###a.getY()###61:5:63:61
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/PointInsideTriangle.java###/PointInsideTriangle.java###com.williamfiset.algorithms.geometry.PointInsideTriangle###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###bx###b.getX()###61:5:63:61
